"open","high","low","volume","average_volume_2_weeks","average_volume","high_52_weeks","dividend_yield","float","low_52_weeks","market_cap","pb_ratio","pe_ratio","shares_outstanding","ceo","headquarters_city","headquarters_state","sector","industry","num_employees","year_founded","symbol"
158.7,159.87,154.13,6731215,5347799.2,5347799.2,187.72,3.86639,574382097.66,114.04,90202236720,8.62086,17.8496,575196000,"Michael F. Roman","St. Paul","Minnesota","Producer Manufacturing","Industrial Conglomerates",96163,1902,"MMM"
91.86,93.325,91.26,5316102,8456646.3,8456646.3,100,1.5866,1755014055.3,61.61,162911085000,5.14555,45.4709,1768850000,"Robert B. Ford","Abbott Park","Illinois","Health Technology","Medical Specialties",107000,1888,"ABT"
91,91.19,90,8765675,15166201.3,15166201.3,97.86,5.2034,1759839239.54,62.55,158663470200,-17.9192,16.0549,1762340000,"Richard A. Gonzalez","North Chicago","Illinois","Health Technology","Pharmaceuticals: Major",30000,2011,"ABBV"
207.88,218.98,207.16,792137,491160.6,491160.6,285.77,NA,43911390.094,119.0101,9783091032,8.83221,47.1857,45008700,"Michael R. Minogue","Danvers","Massachusetts","Health Technology","Medical Specialties",1536,1981,"ABMD"
200.5,204.18,200.01,2277251,2409827.4,2409827.4,216.39,1.62933,635584770.872,137.152,128469235090,8.08759,25.641,637027000,"Julie Spellman Sweet","Dublin","Dublin","Technology Services","Information Technology Services",492000,1989,"ACN"
69.89,71.73,69.4143,7899720,8907838.9,8907838.9,75.97,0.58446,758408631.95,42.1,54103526920,4.1502,34.6215,770486000,"Robert A. Kotick","Santa Monica","California","Consumer Durables","Recreational Products",9200,1979,"ATVI"
375.64,386.88,374.85,2903585,3060855.6,3060855.6,391.27,NA,480222138.123,255.1314,183002473830,17.3155,56.8026,481801000,"Shantanu Narayen","San Jose","California","Technology Services","Packaged Software",22634,1982,"ADBE"
52.23,53.5301,51.25,53751556,67923004.5,67923004.5,59.27,NA,1110382986.39,27.06,60597370600,20.5089,128.354,1171190000,"Lisa T. Su","Santa Clara","California","Electronic Technology","Semiconductors",11400,1969,"AMD"
142.48,142.48,138,1069908,1548733.4,1548733.4,171.43,0.73757,68821271.0388,71.3286,9566370128,2.64476,24.6949,69101200,"Thomas R. Greco","Raleigh","North Carolina","Retail Trade","Specialty Stores",67000,1929,"AAP"
12.94,13.145,12.62,8416835,7432103.8,7432103.8,21.23,4.45031,662540927.52,8.11,8570664120,2.85438,29.4804,664908000,"Andrés Ricardo Gluski Weilert","Arlington","Virginia","Utilities","Electric Utilities",NA,1981,"AES"
37.46,37.56,36.2,4103789,5076014.8,5076014.8,57.18,3.09136,656465289.392,23.07,26282318040,0.985796,9.12227,717508000,"Daniel Paul Amos","Columbus","Georgia","Finance","Life/Health Insurance",11729,1955,"AFL"
86.84,87.85,86.06,1770304,3140208.9,3140208.9,90.64,0.83595,307855953.153,61.13,26843645190,5.56377,39.6255,309651000,"Michael R. McMullen","Santa Clara","California","Health Technology","Biotechnology",16300,1999,"A"
238.215,242.86,236.665,931668,1083289.3,1083289.3,257.01,2.25399,219786282.655,167.43,53155381400,4.61833,26.9624,220855000,"Seifollah Ghasemi","Allentown","Pennsylvania","Process Industries","Chemicals: Specialty",17700,1940,"APD"
99.95,104.49,99.91,1727555,2046756.5,2046756.5,108.25,NA,158840931.256,73.19,16699617340,4.41984,33.2846,162274000,"Frank Thomson Leighton","Cambridge","Massachusetts","Technology Services","Internet Software/Services",7724,1998,"AKAM"
35.97,35.97,34.03,3273221,3920363.1,3920363.1,72.22,4.83092,121950132.285,20.02,4224279100,1.06953,8.20183,122585000,"Bradley D. Tilden","Seattle","Washington","Transportation","Airlines",24134,1985,"ALK"
