Deadline ,Funding Agency,Funding Type,Degree Requirement,Eligibility Requirement,Citizenship Requirement,Earliest Possible Start Date
7-Jan,American Association for Cancer Research (AACR),AACR-Clinical and Translational Cancer  Resarch Fellowship,"PhD, MD, DO, DC, ND, DDS, DVM, ScD, DNS, PharmD, or equivalent doctoral degree) in a related field and not currently be a candidate for a further doctoral or professional degree.",Candidates must have completed their most recent doctoral degreee within the past 5 years.,"None, however, an applicant who is not a citizen or permanent resident, assures that his/her visa status will provide sufficient time to complete the project and grant term.",1-Jul
11-Jan,Children's Tumor Foundation,Young Investigator Award,PhD or MD or equivalent,Candidates may be no more than seven years past the completion of their MD/PhD training.,None,Not available
13-Jan,American Brain Tumor Association,Basic Research Fellowships,PhD or MD ,"M.D. applicants must be within two years of completing residency training through four years post-residency as of 7/1.  PhDs must have their doctorate conferred by January 1, will be no more than four years post-conferral of their PhD by July 1.",None,1-Jul
13-Jan,American Heart Association (Founders Affiliate),Fellow-to-Faculty Transition Awards,"MD, MD/PhD,
DO or equivalent doctoral degree and seek additional research training under the supervision of a sponsor prior to embarking on a career of independent research.",Applicants must have completed the clinical portion of their training and must not hold a faculty/staff appointment by the time of award activation. Candidates may have had no more than five years of postdoctoral research training (beyond clinical training) at time of application.,"US citizens, Permanent Residents, or hold a E-3,H-1B, O-1,
TN visa or G-4 Visa.  Individuals with J1 visas are not eligible.",1-Jul
"January 14
(Full application deadline)",Crohn's and Colitis Foundation of America,Research Fellowship Awards,"PhD, MD, or equivalent",PhD candidates must have two years of postdoctoral experience relevant to IBD.  MD candidates must at least five years of postdoctoral experience (with two years of research relevant to IBD) prior to the start of the award. ,None,1-Jul
15-Jan,American Heart Association (Founders Affiliate),Postdoctoral Fellowships,"PhD, MD, or equivalent",Individuals must not have more than five years of postdoctoral research training experience at the time of award activation.,"US citizens, Permanent Residents, or hold a E-3, F-1,J-1, H-1B, O-1, TN, or G-4 visa",
15-Jan,American Society of Hematology,Junior Investigator Research Training Award for Fellows (RTAF) for second and third-year fellows,"MD or DO.            Please Note: MD-PhDs, DO-PhDs and PhDs are not eligible unless the PhD is in a non-biomedical field.","RTAF applicants are required to be members of ASH in good standing at the time of application, and for the duration of the RTAF program. If your dues have not been paid by time application due, then your application will be deemed ineligible. New Associate Membership applications should be submitted no later than December 1 to be processed.",None,1-Jul
15-Jan,American Society of Hematology,Senior Investigator Research Training Award for Fellows (RTAF) for fourth and fifth-year fellows,"MD or DO.            Please Note: MD-PhDs, DO-PhDs and PhDs are not eligible unless the PhD is in a non-biomedical field.","RTAF applicants are required to be members of ASH in good standing at the time of application, and for the duration of the RTAF program. If your dues have not been paid by time application due, then your application will be deemed ineligible. New Associate Membership applications should be submitted no later than December 1 to be processed.",None,1-Jul
"January 15
",Lalor Foundation,Postdoctoral Research Fellowship,"PhD, MD, or equivalent",Potential fellows should not have held the doctoral degree more than two years.,None,1-Jul
January 19    (Full application deadine),American Association for Cancer Research (AACR),AACR Basic Cancer Research Fellowships,"PhD, MD, DO, DC, ND, DDS, DVM, ScD, DNS, PharmD, or equivalent doctoral degree) in a related field and not currently be a candidate for a further doctoral or professional degree.","At the start of the grant term applicants must be in the 1st, 2nd, or 3rd year of a postdoctoral or clinical research fellowship and the research proposed is in any area of basic cancer research.","None, however, an applicant who is not a citizen or permanent resident, assures that his/her visa status will provide sufficient time to complete the project and grant term.",1-May
29-Jan,The Medical Foundation (Charles A. King Trust),Postdoctoral Research Fellowships in the Biomedical Sciences,"PhD, MD or equivalent","At the time of application, basic science candidates must have completed three years, but no more than five years, of full-time postdoctoral  researchexperience ",None,1-Jul
1-Feb,FRAXA Research Foundation,"FRAXA Grants &
Fellowships","MD, PhD, or MD/PhD Previous grad/postdoc FRAXA grantees are not eligible (previous PI is OK). Limit of one application per lab group (current grantees are not eligible)",Research aimed at finding a specific treatment for fragile X syndrome. Preference will be given to research projects that have a clear practical application and the results of which will be shared in a timely fashion. ,Preference is given to U.S. citizens,1-Sep
February 1                                               (October 1 the online application form becomes available),Jane Coffin Childs Memorial Fund for Medical Research,Postdoctoral Fellowships,PhD or MD,Applicants must not have more than one year of postdoctoral experience.MD'S should not have received their degree more than three years from the date the application is due.,"None, but for foreign nationals, awards will be made only for study in the United States. American citizens may hold a fellowship either in the United States or in a foreign country.",1-Aug
February 1         (Grant cycle opens Oct 1),Paralyzed Veterans of America Research Foundation,Fellowships,PhD or MD,Individuals are eligible to apply for fellowship support within four years of receiving a Ph.D. or completing M.D. residency.,Foreign nationals must be able to provide verification of US or Canadian Visa as current and will allow sufficient in-country to complete the fellowship if awarded.,1-Jul
February 8 (Deadline to start an application)            (February 12 final deadline) ,European Molecular Biology Organization,Long-Term Fellowship  Online application opens in July and must be started by August 10th.  ,PhD or equivalent at the start of the fellowship. PhD’s must have passed their PhD exam in the two years prior to the respective application deadline.,"Applicants must have at least one first (or joint first) author paper accepted for publication, in press or published in an international peer reviewed journal at the time of application. Only original research articles are taken into account, i.e. review articles and patent applications do not count.This mobility fellowship is intended to promote international exchange. As a consequence all applications must involve a change of country.  See sponsor guidelines regarding types of mobility that are allowed, whether it be applications to work in an EMBC Member State or applications to work in a Non-EMBC Member State.","US citizens are NOT eligible to hold this award in the US. Candidates from EMBO member countries are eligible to hold the award in either a member or non- member country.
Non-EMBC
nationals with a PhD from a member country will not be eligible for a fellowship in a non-member country.",1-Jul
"February 9   (Letter of intent deadline)           (If invited, full application due April 12)",National Hemophilia Foundation,Judith Graham Pool (JGP) Postdoctoral Fellowships,"PhD, MD, or equivalent","Applicants must have completed doctoral training and must apply for the JGP fellowship award from a doctoral,  postdoctoral, internship or residency training program. Individuals with more than six years of experience since completing doctoral training are not eligible to apply. Established investigators or faculty members are not eligible.",None,1-Jan
12-Feb,National Institutes of Health,Pathway to Independence Award (K99/R00),"PhD, MD or equivalent postdoctoral degree","Candidates are not eligible if they have currently or previously held an independent research faculty or tenure-track faculty position, or its equivalent, in academia, industry or elsewhere; or have more than 5 years of related postdoctoral research training at the time of initial application or resubmission(s); or have been an independent principal investigator on NIH research grants, NIH career development awards, or other peer reviewed NIH or non-NIH research grants over $100,000 direct costs per year intended for faculty members. A candidate for the PI award may not simultaneously submit or have an application pending for any other NIH fellowship, career award or research award. Ineligible individuals include current and former principal investigators on NIH research grants (e.g. R01, R03, R21), comparable individual NIH career development awards (e.g., K01, K07, K08, K23, K25), equivalent non-PHS peer-reviewed career development awards, or non-PHS peer-reviewed research grants over $100,000 direct costs per year, or project leaders on sub-projects of program project (P01) or center (P50) grants.",U.S. citizens and non-U.S. citizens,1-Jan
March 3    (Letter of Intent Deadline)        ,The Glenn Foundation/ American Foundation for Aging Research (Glenn/AFAR),Glenn/AFAR Postdoctoral Fellowship Program for Translational Research on Aging,"MD, MD/PHd, or PhD",Postdoctoral fellows at all levels of training are eligible. Applicants must specifically direct their research towards translational findings and demonstrate how their research will have direct benefits to human aging. ,None,September 1 or       December 1
11-Mar,American Parkinson's Disease Foundation,Named Postdoctoral Fellowships,"MD, MD/PhD, OD, OD/PhD or PhD research trainees. Must have completed their degree or clinical residency program within two (2) years of the onset of the proposed award.","Applicants must have less than two years of postdoc experience at the time of award. Research training focus holds promise for new insights into the pathophysiology, etiology, and/or treatment of Parkinson's disease.",None,1-Oct
11-Mar,National Parkinson Foundation,Post-Doctoral Research Fellowship,"PhD, MD or equivalent","Applicants whose research training focus holds promise for new insights into the pathophysiology, etiology, and/or treatment of Parkinson's disease. Applicants must have completed their MD, OD, PhD, MD/PhD, OD/PhD or clinical residency program within two (2) years of the onset of the proposed award.",None,1-Sep
11-Mar,Prostate Cancer Foundation,2016 PCF Young Investigatgor Award,"PhD, MD or equivalent","Must be within 6-years following completion of a professional degree or clinical training such as MD, PhD, MD-PhD, DSc, ScD, DDM, DDS, DMD, MBBS or equivalent",None,1-Sep
15-Mar,Damon Runyon Cancer Research Foundation,Postdoctoral Research Fellowships for Basic and Physician Scientists,"Applicants must have completed one of the following degrees or its equivalent: MD, PhD, MD/PhD, DDS, DVM. The applicant must include a copy of his/her diploma to confirm date of conferral.","Basic scientists must not have more than one year of postdoc experience prior to the Scientific Advisory Committee (SAC) meeting at which their applications are to be considered.
Physician-scientists must have completed their residencies/clinical training no more than three years prior to the SAC meeting at which their applications are to be considered.Only one fellowship application will be accepted from a Sponsor, co-Sponsor or Fellow per review session; there is no limit, however, to the number of applications from an institution.",None,Not available
1-Apr,American Cancer Society,Postdoctoral Fellowships,PhD or MD,Must have no more than four years of postdoc experience,U.S. Citizen or Permanent Resident,July 1                  August 1              September 1       October 1      
1-Apr,Cancer Research Institute,CRI Irvington Postdoctoral Fellowships ,"PhD, MD by the date of award activation.","Must be working in areas directly related to cancer immunology. An eligible project must fall into the broad field of immunology and must show relevance to solving the cancer problem. Proposals that do not encompass both these areas will not be considered. Applicants with five or more years of postdoctoral experience are not eligible, with the exception of MD applicants, who should not incluede years of residency in this calculation.Only one fellow per sponsor may apply per application round, and faculty sponsors may not have more than three CRI-supported fellows at any time.",None,1-Jan
