"feature","ids","variable","value","time","well","time_APCON"
"CFP-Geminin","36","1",63.2319641113281,0.2,"G7",-40.4
"CFP-Geminin","36","13",63.6770362854004,0.4,"G7",-40.2
"CFP-Geminin","36","25",62.3026542663574,0.6,"G7",-40
"CFP-Geminin","36","37",60.0035438537598,0.8,"G7",-39.8
"CFP-Geminin","36","49",62.5292510986328,1,"G7",-39.6
"CFP-Geminin","36","61",64.3272552490234,1.2,"G7",-39.4
"CFP-Geminin","36","73",63.057014465332,1.4,"G7",-39.2
"CFP-Geminin","36","85",65.6883926391602,1.6,"G7",-39
"CFP-Geminin","36","97",66.3392715454102,1.8,"G7",-38.8
"CFP-Geminin","36","109",67.4931869506836,2,"G7",-38.6
"CFP-Geminin","36","121",66.7960662841797,2.2,"G7",-38.4
"CFP-Geminin","36","133",64.5607528686523,2.4,"G7",-38.2
"CFP-Geminin","36","145",61.4431190490723,2.6,"G7",-38
"CFP-Geminin","36","157",65.3508071899414,2.8,"G7",-37.8
"CFP-Geminin","36","169",67.5812149047852,3,"G7",-37.6
"CFP-Geminin","36","181",67.858024597168,3.2,"G7",-37.4
"CFP-Geminin","36","193",73.0089416503906,3.4,"G7",-37.2
"CFP-Geminin","36","205",73.2886123657227,3.6,"G7",-37
"CFP-Geminin","36","217",73.9355545043945,3.8,"G7",-36.8
"CFP-Geminin","36","229",73.6526336669922,4,"G7",-36.6
"CFP-Geminin","36","241",73.3238067626953,4.2,"G7",-36.4
"CFP-Geminin","36","253",70.0458450317383,4.4,"G7",-36.2
"CFP-Geminin","36","265",76.2093811035156,4.6,"G7",-36
"CFP-Geminin","36","277",72.3401260375977,4.8,"G7",-35.8
"CFP-Geminin","36","289",72.2558898925781,5,"G7",-35.6
"CFP-Geminin","36","301",74.7280807495117,5.2,"G7",-35.4
"CFP-Geminin","36","313",70.9512176513672,5.4,"G7",-35.2
"CFP-Geminin","36","325",75.3804092407227,5.6,"G7",-35
"CFP-Geminin","36","337",66.7341613769531,5.8,"G7",-34.8
"CFP-Geminin","36","349",71.1457138061523,6,"G7",-34.6
"CFP-Geminin","36","361",67.3339996337891,6.2,"G7",-34.4
"CFP-Geminin","36","373",67.3148345947266,6.4,"G7",-34.2
"CFP-Geminin","36","385",63.2823028564453,6.6,"G7",-34
"CFP-Geminin","36","397",64.3762664794922,6.8,"G7",-33.8
"CFP-Geminin","36","409",63.4656829833984,7,"G7",-33.6
"CFP-Geminin","36","421",69.4013290405273,7.2,"G7",-33.4
